傌	㐷 骂
潙	沩
滬	沪
霑	沾
洩	泄
㳒	法
灋	法
氾	泛
汎	泛
濘	泞
註	注
淚	泪
冺	泯
澩	泶
瀧	泷
瀘	泸
濼	泺
瀉	泻
潑	泼
澤	泽
涇	泾
潔	洁
絜	洁
灑	洒
窪	洼
浹	浃
淺	浅
漿	浆
澆	浇
湞	浈
溮	浉
濁	浊
測	测
澮	浍
濟	济
瀏	浏
滻	浐
渾	浑
滸	浒
濃	浓
潯	浔
濜	浕
淛	浙
濬	浚
澣	浣
塗	涂
湼	涅
湧	涌
㳄	涎
涗	涚
濤	涛
澇	涝
淶	涞
漣	涟
潿	涠
渦	涡
溳	涢
渙	涣
滌	涤
潤	润
澗	涧
漲	涨
澀	涩
澁	涩
濇	涩
澱	淀
殽	淆
痳	淋 麻 痳
澹	淡
婬	淫
滛	淫
㴱	深
湻	淳
淵	渊
淥	渌
漬	渍
瀆	渎
漸	渐
澠	渑
漁	渔
滲	渗
溫	温
遊	游
淼	渺
𣺌	渺
灣	湾
溼	湿
濕	湿
濚	溁
潰	溃
濺	溅
漵	溆
漊	溇
谿	溪
泝	溯
遡	溯
潷	滗
滾	滚
滯	滞
灧	滟
灩	滟
灄	滠
滿	满
瀅	滢
濾	滤
濫	滥
灤	滦
濱	滨
灘	滩
澦	滪
灕	漓
潄	漱
瀠	潆
瀟	潇
瀲	潋
濰	潍
潛	潜
潀	潨
瀦	潴
澂	澄
瀂	澛
瀾	澜
瀨	濑
瀕	濒
濛	濛 蒙
灝	灏
滅	灭
燈	灯
靈	灵
竈	灶
災	灾
烖	灾
菑	灾
燦	灿
煬	炀
爐	炉
鑪	炉 𬬻
匟	炕
燉	炖
煒	炜
熗	炝
砲	炮
礮	炮 𪿫
烱	炯
點	点
煉	炼
鍊	炼 链 𫔀
熾	炽
爍	烁
爛	烂
烴	烃
燭	烛
煙	烟
菸	烟
煩	烦
燒	烧
燁	烨
爗	烨
燴	烩
燙	烫
燼	烬
熱	热
釬	焊
銲	焊
煥	焕
燜	焖
燾	焘
燄	焰
炤	照
煑	煮
熅	煴
燻	熏
熈	熙
𤋮	熙
鷰	燕
爕	燮
愛	爱
爺	爷
牘	牍
氂	牦
犛	牦
牴	牴 抵
牽	牵
